Item Name,Description,Rate,Unit,Product Type,Tax Name,SKU
Roasted Lechon Belly 450g,Premium Filipino roasted lechon / Filipino dish,25,pack,Goods,,BGN-001
Roasted Lechon Belly (half rolls) 8-11 lb,Premium Filipino roasted lechon / Filipino dish,140,roll,Goods,,BGN-002
Roasted Lechon Belly (full rolls) 14-22 lbs,Premium Filipino roasted lechon / Filipino dish,260,roll,Goods,,BGN-003
Roasted Cochinillo 12-15 lbs,Premium Filipino roasted lechon / Filipino dish,450,pc,Goods,,BGN-004
Roasted Lechon De Leche 30-39 lbs,Premium Filipino roasted lechon / Filipino dish,465,pc,Goods,,BGN-005
Roasted Lechon Medium 50-59 lbs,Premium Filipino roasted lechon / Filipino dish,525,pc,Goods,,BGN-006
Roasted Lechon Large 60-69 lbs,Premium Filipino roasted lechon / Filipino dish,575,pc,Goods,,BGN-007
Roasted Lechon Extra-large 70-80 lbs,Premium Filipino roasted lechon / Filipino dish,625,pc,Goods,,BGN-008
Shanghai Rolls Full tray,Premium Filipino roasted lechon / Filipino dish,180,tray,Goods,,BGN-009
Pansit Canton Bihon Full tray,Premium Filipino roasted lechon / Filipino dish,190,tray,Goods,,BGN-010
Steamed Rice Full tray,Premium Filipino roasted lechon / Filipino dish,90,tray,Goods,,BGN-011
Beef Kare Kare,Premium Filipino roasted lechon / Filipino dish,250,tray,Goods,,BGN-012
Beef Bistek Tagalog Full tray,Premium Filipino roasted lechon / Filipino dish,270,tray,Goods,,BGN-013
Chop Suey Full tray,Premium Filipino roasted lechon / Filipino dish,250,tray,Goods,,BGN-014
Pork Siomai Full tray,Premium Filipino roasted lechon / Filipino dish,250,tray,Goods,,BGN-015
Pork Menudo,Premium Filipino roasted lechon / Filipino dish,220,tray,Goods,,BGN-016
